Participant,Rater Code,Count,Unusable,Gender,Sex_Orient,SD_Sex_Orient,Rom_Rel,Age,Ethnicity,Col_Blind,Vis_Impair,Experimenter,FirstBlock,BlockOne,Label,TargetNum,StimSeat,StimGender,StimulusType,OrientationMatch,Rating
1,C001,50,0,1,4,,1,18,5,2,2,1,5,0,G054B_M_DEwithAudio,054B,1,1,6,0,4
1,C001,51,0,1,4,,1,18,5,2,2,1,5,0,G054B_M_DN,054B,1,1,3,0,6
1,C001,52,0,1,4,,1,18,5,2,2,1,5,0,G054B_M_DNwithAudio,054B,1,1,5,0,5
1,C001,53,0,1,4,,1,18,5,2,2,1,5,0,G054B_M_SE,054B,1,1,2,0,4
1,C001,54,0,1,4,,1,18,5,2,2,1,5,0,G054B_M_SN,054B,1,1,1,0,6
1,C001,55,0,1,4,,1,18,5,2,2,1,5,0,G062C_F_DE,062C,2,0,4,1,6
1,C001,56,0,1,4,,1,18,5,2,2,1,5,0,G062C_F_DEwithAudio,062C,2,0,6,1,6
1,C001,57,0,1,4,,1,18,5,2,2,1,5,0,G062C_F_DN,062C,2,0,3,1,4
1,C001,58,0,1,4,,1,18,5,2,2,1,5,0,G062C_F_DNwithAudio,062C,2,0,5,1,7
1,C001,59,0,1,4,,1,18,5,2,2,1,5,0,G062C_F_SE,062C,2,0,2,1,5
1,C001,60,0,1,4,,1,18,5,2,2,1,5,0,G062C_F_SN,062C,2,0,1,1,5
1,C001,61,0,1,4,,1,18,5,2,2,1,5,0,G067B_F_DE,067B,1,0,4,1,8
1,C001,62,0,1,4,,1,18,5,2,2,1,5,0,G067B_F_DEwithAudio,067B,1,0,6,1,8
1,C001,63,0,1,4,,1,18,5,2,2,1,5,0,G067B_F_DN,067B,1,0,3,1,7
1,C001,64,0,1,4,,1,18,5,2,2,1,5,0,G067B_F_DNwithAudio,067B,1,0,5,1,7
1,C001,65,0,1,4,,1,18,5,2,2,1,5,0,G067B_F_SE,067B,1,0,2,1,8
1,C001,66,0,1,4,,1,18,5,2,2,1,5,0,G067B_F_SN,067B,1,0,1,1,7
1,C001,67,0,1,4,,1,18,5,2,2,1,5,0,G067C_M_DE,067C,2,1,4,0,6
1,C001,68,0,1,4,,1,18,5,2,2,1,5,0,G067C_M_DEwithAudio,067C,2,1,6,0,5
1,C001,69,0,1,4,,1,18,5,2,2,1,5,0,G067C_M_DN,067C,2,1,3,0,5
1,C001,70,0,1,4,,1,18,5,2,2,1,5,0,G067C_M_DNwithAudio,067C,2,1,5,0,5
1,C001,71,0,1,4,,1,18,5,2,2,1,5,0,G067C_M_SE,067C,2,1,2,0,4
1,C001,72,0,1,4,,1,18,5,2,2,1,5,0,G067C_M_SN,067C,2,1,1,0,6
1,C001,73,0,1,4,,1,18,5,2,2,1,5,0,G074A_M_DE,074A,0,1,4,0,5
1,C001,74,0,1,4,,1,18,5,2,2,1,5,0,G074A_M_DEwithAudio,074A,0,1,6,0,5
1,C001,75,0,1,4,,1,18,5,2,2,1,5,0,G074A_M_DN,074A,0,1,3,0,5
1,C001,76,0,1,4,,1,18,5,2,2,1,5,0,G074A_M_DNwithAudio,074A,0,1,5,0,5
1,C001,77,0,1,4,,1,18,5,2,2,1,5,0,G074A_M_SE,074A,0,1,2,0,4
1,C001,78,0,1,4,,1,18,5,2,2,1,5,0,G074A_M_SN,074A,0,1,1,0,5
1,C001,79,0,1,4,,1,18,5,2,2,1,5,0,G075B_F_DE,075B,1,0,4,1,9
1,C001,80,0,1,4,,1,18,5,2,2,1,5,0,G075B_F_DEwithAudio,075B,1,0,6,1,8
1,C001,81,0,1,4,,1,18,5,2,2,1,5,0,G075B_F_DN,075B,1,0,3,1,9
1,C001,82,0,1,4,,1,18,5,2,2,1,5,0,G075B_F_DNwithAudio,075B,1,0,5,1,8
1,C001,83,0,1,4,,1,18,5,2,2,1,5,0,G075B_F_SE,075B,1,0,2,1,8
1,C001,84,0,1,4,,1,18,5,2,2,1,5,0,G075B_F_SN,075B,1,0,1,1,7
1,C001,85,0,1,4,,1,18,5,2,2,1,5,0,G078A_F_DE,078A,0,0,4,1,9
1,C001,86,0,1,4,,1,18,5,2,2,1,5,0,G078A_F_DEwithAudio,078A,0,0,6,1,8
1,C001,87,0,1,4,,1,18,5,2,2,1,5,0,G078A_F_DN,078A,0,0,3,1,9
1,C001,88,0,1,4,,1,18,5,2,2,1,5,0,G078A_F_DNwithAudio,078A,0,0,5,1,8
1,C001,89,0,1,4,,1,18,5,2,2,1,5,0,G078A_F_SE,078A,0,0,2,1,10
1,C001,90,0,1,4,,1,18,5,2,2,1,5,0,G078A_F_SN,078A,0,0,1,1,8
1,C001,91,0,1,4,,1,18,5,2,2,1,5,0,G084A_M_DE,084A,0,1,4,0,7
1,C001,92,0,1,4,,1,18,5,2,2,1,5,0,G084A_M_DEwithAudio,084A,0,1,6,0,6
1,C001,93,0,1,4,,1,18,5,2,2,1,5,0,G084A_M_DN,084A,0,1,3,0,4
1,C001,94,0,1,4,,1,18,5,2,2,1,5,0,G084A_M_DNwithAudio,084A,0,1,5,0,5
1,C001,95,0,1,4,,1,18,5,2,2,1,5,0,G084A_M_SE,084A,0,1,2,0,6
1,C001,96,0,1,4,,1,18,5,2,2,1,5,0,G084A_M_SN,084A,0,1,1,0,5
1,C001,97,0,1,4,,1,18,5,2,2,1,5,0,G087C_F_DE,087C,2,0,4,1,6
1,C001,98,0,1,4,,1,18,5,2,2,1,5,0,G087C_F_DEwithAudio,087C,2,0,6,1,5
1,C001,99,0,1,4,,1,18,5,2,2,1,5,0,G087C_F_DN,087C,2,0,3,1,6
1,C001,100,0,1,4,,1,18,5,2,2,1,5,0,G087C_F_DNwithAudio,087C,2,0,5,1,6
1,C001,101,0,1,4,,1,18,5,2,2,1,5,0,G087C_F_SE,087C,2,0,2,1,8
1,C001,102,0,1,4,,1,18,5,2,2,1,5,0,G087C_F_SN,087C,2,0,1,1,6
1,C001,103,0,1,4,,1,18,5,2,2,1,5,0,G094C_M_DE,094C,2,1,4,0,7
1,C001,104,0,1,4,,1,18,5,2,2,1,5,0,G094C_M_DEwithAudio,094C,2,1,6,0,6
1,C001,105,0,1,4,,1,18,5,2,2,1,5,0,G094C_M_DN,094C,2,1,3,0,4
1,C001,106,0,1,4,,1,18,5,2,2,1,5,0,G094C_M_DNwithAudio,094C,2,1,5,0,5
1,C001,107,0,1,4,,1,18,5,2,2,1,5,0,G094C_M_SE,094C,2,1,2,0,6
1,C001,108,0,1,4,,1,18,5,2,2,1,5,0,G094C_M_SN,094C,2,1,1,0,4
1,C001,109,0,1,4,,1,18,5,2,2,1,5,0,G100C_M_DE,100C,2,1,4,0,4
1,C001,110,0,1,4,,1,18,5,2,2,1,5,0,G100C_M_DEwithAudio,100C,2,1,6,0,4
1,C001,111,0,1,4,,1,18,5,2,2,1,5,0,G100C_M_DN,100C,2,1,3,0,4
1,C001,112,0,1,4,,1,18,5,2,2,1,5,0,G100C_M_DNwithAudio,100C,2,1,5,0,3
1,C001,113,0,1,4,,1,18,5,2,2,1,5,0,G100C_M_SE,100C,2,1,2,0,4
1,C001,114,0,1,4,,1,18,5,2,2,1,5,0,G100C_M_SN,100C,2,1,1,0,3
1,C001,115,0,1,4,,1,18,5,2,2,1,5,0,G101B_F_DE,101B,1,0,4,1,7
1,C001,116,0,1,4,,1,18,5,2,2,1,5,0,G101B_F_DEwithAudio,101B,1,0,6,1,8
1,C001,117,0,1,4,,1,18,5,2,2,1,5,0,G101B_F_DN,101B,1,0,3,1,5
1,C001,118,0,1,4,,1,18,5,2,2,1,5,0,G101B_F_DNwithAudio,101B,1,0,5,1,5
1,C001,119,0,1,4,,1,18,5,2,2,1,5,0,G101B_F_SE,101B,1,0,2,1,6
1,C001,120,0,1,4,,1,18,5,2,2,1,5,0,G101B_F_SN,101B,1,0,1,1,5
1,C001,121,0,1,4,,1,18,5,2,2,1,5,0,G105A_M_DE,105A,0,1,4,0,4
1,C001,122,0,1,4,,1,18,5,2,2,1,5,0,G105A_M_DEwithAudio,105A,0,1,6,0,5
1,C001,123,0,1,4,,1,18,5,2,2,1,5,0,G105A_M_DN,105A,0,1,3,0,4
1,C001,124,0,1,4,,1,18,5,2,2,1,5,0,G105A_M_DNwithAudio,105A,0,1,5,0,3
1,C001,125,0,1,4,,1,18,5,2,2,1,5,0,G105A_M_SE,105A,0,1,2,0,5
1,C001,126,0,1,4,,1,18,5,2,2,1,5,0,G105A_M_SN,105A,0,1,1,0,4
1,C001,127,0,1,4,,1,18,5,2,2,1,5,0,G110A_F_DE,110A,0,0,4,1,6
1,C001,128,0,1,4,,1,18,5,2,2,1,5,0,G110A_F_DEwithAudio,110A,0,0,6,1,5
1,C001,129,0,1,4,,1,18,5,2,2,1,5,0,G110A_F_DN,110A,0,0,3,1,5
1,C001,130,0,1,4,,1,18,5,2,2,1,5,0,G110A_F_DNwithAudio,110A,0,0,5,1,5
1,C001,131,0,1,4,,1,18,5,2,2,1,5,0,G110A_F_SE,110A,0,0,2,1,6
1,C001,132,0,1,4,,1,18,5,2,2,1,5,0,G110A_F_SN,110A,0,0,1,1,4
1,C001,133,0,1,4,,1,18,5,2,2,1,5,0,G131A_F_DE,131A,0,0,4,1,8
1,C001,134,0,1,4,,1,18,5,2,2,1,5,0,G131A_F_DEwithAudio,131A,0,0,6,1,9
1,C001,135,0,1,4,,1,18,5,2,2,1,5,0,G131A_F_DN,131A,0,0,3,1,8
1,C001,136,0,1,4,,1,18,5,2,2,1,5,0,G131A_F_DNwithAudio,131A,0,0,5,1,8
1,C001,137,0,1,4,,1,18,5,2,2,1,5,0,G131A_F_SE,131A,0,0,2,1,7
1,C001,138,0,1,4,,1,18,5,2,2,1,5,0,G131A_F_SN,131A,0,0,1,1,8
1,C001,139,0,1,4,,1,18,5,2,2,1,5,0,G147C_M_DE,147C,2,1,4,0,5
1,C001,140,0,1,4,,1,18,5,2,2,1,5,0,G147C_M_DEwithAudio,147C,2,1,6,0,6
1,C001,141,0,1,4,,1,18,5,2,2,1,5,0,G147C_M_DN,147C,2,1,3,0,6
1,C001,142,0,1,4,,1,18,5,2,2,1,5,0,G147C_M_DNwithAudio,147C,2,1,5,0,5
1,C001,143,0,1,4,,1,18,5,2,2,1,5,0,G147C_M_SE,147C,2,1,2,0,7
1,C001,144,0,1,4,,1,18,5,2,2,1,5,0,G147C_M_SN,147C,2,1,1,0,5
1,C001,145,0,1,4,,1,18,5,2,2,1,5,0,G169A_M_DE,169A,0,1,4,0,5
1,C001,146,0,1,4,,1,18,5,2,2,1,5,0,G169A_M_DEwithAudio,169A,0,1,6,0,5
1,C001,147,0,1,4,,1,18,5,2,2,1,5,0,G169A_M_DN,169A,0,1,3,0,4
1,C001,148,0,1,4,,1,18,5,2,2,1,5,0,G169A_M_DNwithAudio,169A,0,1,5,0,4
1,C001,149,0,1,4,,1,18,5,2,2,1,5,0,G169A_M_SE,169A,0,1,2,0,6
1,C001,150,0,1,4,,1,18,5,2,2,1,5,0,G169A_M_SN,169A,0,1,1,0,4
1,C001,151,0,1,4,,1,18,5,2,2,1,5,0,G170A_M_DE,170A,0,1,4,0,7
1,C001,152,0,1,4,,1,18,5,2,2,1,5,0,G170A_M_DEwithAudio,170A,0,1,6,0,6
1,C001,153,0,1,4,,1,18,5,2,2,1,5,0,G170A_M_DN,170A,0,1,3,0,5
1,C001,154,0,1,4,,1,18,5,2,2,1,5,0,G170A_M_DNwithAudio,170A,0,1,5,0,5
1,C001,155,0,1,4,,1,18,5,2,2,1,5,0,G170A_M_SE,170A,0,1,2,0,6
1,C001,156,0,1,4,,1,18,5,2,2,1,5,0,G170A_M_SN,170A,0,1,1,0,4
1,C001,157,0,1,4,,1,18,5,2,2,1,5,0,G170C_F_DE,170C,2,0,4,1,7
1,C001,158,0,1,4,,1,18,5,2,2,1,5,0,G170C_F_DEwithAudio,170C,2,0,6,1,7
1,C001,159,0,1,4,,1,18,5,2,2,1,5,0,G170C_F_DN,170C,2,0,3,1,6
1,C001,160,0,1,4,,1,18,5,2,2,1,5,0,G170C_F_DNwithAudio,170C,2,0,5,1,6
1,C001,161,0,1,4,,1,18,5,2,2,1,5,0,G170C_F_SE,170C,2,0,2,1,7
1,C001,162,0,1,4,,1,18,5,2,2,1,5,0,G170C_F_SN,170C,2,0,1,1,7
1,C001,163,0,1,4,,1,18,5,2,2,1,5,0,G173C_F_DE,173C,2,0,4,1,5
1,C001,164,0,1,4,,1,18,5,2,2,1,5,0,G173C_F_DEwithAudio,173C,2,0,6,1,5
1,C001,165,0,1,4,,1,18,5,2,2,1,5,0,G173C_F_DN,173C,2,0,3,1,5
1,C001,166,0,1,4,,1,18,5,2,2,1,5,0,G173C_F_DNwithAudio,173C,2,0,5,1,4
1,C001,167,0,1,4,,1,18,5,2,2,1,5,0,G173C_F_SE,173C,2,0,2,1,4
1,C001,168,0,1,4,,1,18,5,2,2,1,5,0,G173C_F_SN,173C,2,0,1,1,4
1,C001,169,0,1,4,,1,18,5,2,2,1,5,0,G177B_F_DE,177B,1,0,4,1,5
1,C001,170,0,1,4,,1,18,5,2,2,1,5,0,G177B_F_DEwithAudio,177B,1,0,6,1,5
1,C001,171,0,1,4,,1,18,5,2,2,1,5,0,G177B_F_DN,177B,1,0,3,1,4
1,C001,172,0,1,4,,1,18,5,2,2,1,5,0,G177B_F_DNwithAudio,177B,1,0,5,1,4
1,C001,173,0,1,4,,1,18,5,2,2,1,5,0,G177B_F_SE,177B,1,0,2,1,5
1,C001,174,0,1,4,,1,18,5,2,2,1,5,0,G177B_F_SN,177B,1,0,1,1,5
1,C001,175,0,1,4,,1,18,5,2,2,1,5,0,G183A_M_DE,183A,0,1,4,0,6
1,C001,176,0,1,4,,1,18,5,2,2,1,5,0,G183A_M_DEwithAudio,183A,0,1,6,0,5
1,C001,177,0,1,4,,1,18,5,2,2,1,5,0,G183A_M_DN,183A,0,1,3,0,5
1,C001,178,0,1,4,,1,18,5,2,2,1,5,0,G183A_M_DNwithAudio,183A,0,1,5,0,6
1,C001,179,0,1,4,,1,18,5,2,2,1,5,0,G183A_M_SE,183A,0,1,2,0,6
1,C001,180,0,1,4,,1,18,5,2,2,1,5,0,G183A_M_SN,183A,0,1,1,0,6
1,C001,181,0,1,4,,1,18,5,2,2,1,5,0,G184C_F_DE,184C,2,0,4,1,3
1,C001,182,0,1,4,,1,18,5,2,2,1,5,0,G184C_F_DEwithAudio,184C,2,0,6,1,4
1,C001,183,0,1,4,,1,18,5,2,2,1,5,0,G184C_F_DN,184C,2,0,3,1,3
